Drzava;St.sportnikov
Afghanistan;6
Albania;12
Algeria;42
American Samoa;5
Andorra;6
Angola;34
Antigua and Barbuda;5
Argentina;137
Armenia;25
Aruba;4
Australia;410
Austria;70
Azerbaijan;53
Bahamas;24
Bahrain;12
Bangladesh;5
Barbados;6
Belarus;165
Belgium;115
Belize;3
Benin;5
Bermuda;8
Bhutan;2
Bolivia;6
Bosnia and Herzegovina;6
Botswana;4
Brazil;258
British Virgin Islands;2
Brunei;3
Bulgaria;63
Burkina Faso;5
Burundi;6
Cambodia;6
Cameroon;33
Canada;277
Cape Verde;3
Cayman Islands;5
Central African Republic;6
Chad;3
Chile;35
China;396
Chinese Taipei;44
Colombia;104
Comoros;3
Congo;7
Cook Islands;8
Costa Rica;11
Croatia;108
Cuba;110
Cyprus;13
Czech Republic;133
Denmark;113
Djibouti;6
Dominica;2
Dominican Republic;35
DR Congo;4
Ecuador;36
Egypt;113
El Salvador;10
Equatorial Guinea;2
Eritrea;12
Estonia;33
Ethiopia;35
Federated States of Micronesia;6
Fiji;9
Finland;55
France;330
Gabon;24
Georgia;35
Germany;392
Ghana;9
Great Britain;540
Greece;103
Grenada;10
Guam;8
Guatemala;19
Guinea;4
Guinea-Bissau;4
Guyana;6
Haiti;5
Honduras;27
Hong Kong;42
Hungary;157
Iceland;27
India;83
Indonesia;22
Iran;53
Iraq;8
Ireland;66
Israel;37
Italy;284
Ivory Coast;10
Jamaica;50
Japan;293
Jordan;9
Kazakhstan;114
Kenya;47
Kiribati;3
Kuwait;11
Kyrgyzstan;14
Laos;3
Latvia;46
Lebanon;10
Lesotho;4
Liberia;4
Libya;5
Liechtenstein;3
Lithuania;62
Luxembourg;9
Macedonia;4
Madagascar;7
Malawi;3
Malaysia;30
Maldives;5
Mali;6
Malta;5
Marshall Islands;4
Mauritania;2
Mauritius;11
Mexico;102
Moldova;22
Monaco;6
Mongolia;29
Montenegro;33
Morocco;67
Mozambique;6
Myanmar;6
Namibia;9
Nauru;2
Nepal;5
Netherlands;178
New Zealand;184
Nicaragua;6
Niger;6
Nigeria;55
North Korea;51
Norway;64
Oman;4
Pakistan;21
Palau;5
Palestine;5
Panama;7
Papua New Guinea;8
Paraguay;8
Peru;16
Philippines;11
Poland;218
Portugal;77
Puerto Rico;25
Qatar;12
Romania;103
Russia;436
Rwanda;7
Saint Kitts and Nevis;7
Saint Lucia;4
Saint Vincent and the Grenadines;3
Samoa;8
San Marino;4
Saudi Arabia;19
Senegal;31
Serbia;115
Seychelles;6
Sierra Leone;2
Singapore;23
Slovakia;47
Slovenia;65
Solomon Islands;4
Somalia;2
South Africa;125
South Korea;245
Spain;282
Sri Lanka;7
Sudan;6
Suriname;5
Swaziland;3
Sweden;134
Switzerland;102
Syria;10
Sao Tomé and Príncipe;2
Tajikistan;16
Tanzania;7
Thailand;37
The Gambia;2
Timor-Leste;2
Togo;6
Tonga;3
Trinidad and Tobago;30
Tunisia;83
Turkey;114
Turkmenistan;10
Tuvalu;3
Uganda;16
Ukraine;237
United Arab Emirates;26
United States;530
Uruguay;29
Uzbekistan;54
Vanuatu;5
Venezuela;70
Vietnam;18
Virgin Islands;7
Yemen;4
Zambia;7
Zimbabwe;7
